link_id, from_tile_id, from_pos_idx, to_tile_id, to_pos_idx, control_radius_percent, color, ref_color, opacity
l1683,tile8,188,tile4,179,0.3, ,c8,0.1
l1684,tile4,179,tile1,200,0.3, ,c4,0.1
l1685,tile1,200,tile2,192,0.3, ,c1,0.1
l1686,tile2,192,tile8,189,0.3, ,c2,0.1
l1687,tile8,189,tile4,180,0.3, ,c8,0.1
l1688,tile4,180,tile8,190,0.3, ,c4,0.1
l1689,tile8,191,tile6,181,0.3, ,c8,0.1
l1690,tile6,181,tile2,193,0.3, ,c6,0.1
l1691,tile2,193,tile6,182,0.3, ,c2,0.1
l1692,tile6,182,tile9,197,0.3, ,c6,0.1
l1693,tile9,197,tile4,181,0.3, ,c9,0.1
l1694,tile4,181,tile5,194,0.3, ,c4,0.1
l1695,tile5,194,tile6,183,0.3, ,c5,0.1
l1696,tile6,183,tile0,170,0.3, ,c6,0.1
l1697,tile0,170,tile4,182,0.3, ,c0,0.1
l1698,tile4,182,tile2,194,0.3, ,c4,0.1
l1699,tile2,194,tile4,183,0.3, ,c2,0.1
l1700,tile4,183,tile1,201,0.3, ,c4,0.1
l1701,tile1,201,tile9,198,0.3, ,c1,0.1
l1702,tile9,198,tile6,184,0.3, ,c9,0.1
l1703,tile6,184,tile5,195,0.3, ,c6,0.1
l1704,tile5,195,tile2,195,0.3, ,c5,0.1
l1705,tile2,195,tile8,192,0.3, ,c2,0.1
l1706,tile8,192,tile5,196,0.3, ,c8,0.1
l1707,tile5,196,tile0,171,0.3, ,c5,0.1
l1708,tile0,171,tile2,196,0.3, ,c0,0.1
l1709,tile2,198,tile1,202,0.3, ,c2,0.1
l1710,tile1,202,tile0,172,0.3, ,c1,0.1
l1711,tile0,172,tile6,185,0.3, ,c0,0.1
l1712,tile6,186,tile1,203,0.3, ,c6,0.1
l1713,tile1,204,tile8,193,0.3, ,c1,0.1
